0  -7.11 0.05     22.33 0.57    0.89  1.00
62  -0.00 -0.00     0.00 0.00    1.00  1.00
63  0.00 0.00     0.00 0.00    1.00  1.00
64  -0.00 -0.00     0.00 0.00    1.00  1.00
65  0.00 0.00     0.00 0.00    1.00  1.00
66  -0.00 -0.00     0.00 0.00    1.00  1.00
67  0.00 0.00     0.00 0.00    1.00  1.00
68  -0.00 -0.00     0.00 0.00    1.00  1.00
69  0.00 0.00     0.00 0.00    1.00  1.00
70  -0.00 -0.00     0.00 0.00    1.00  1.00
71  0.00 0.00     0.00 0.00    1.00  1.00
72  0.00 0.00     0.00 0.00    1.00  1.00
73  -0.00 -0.00     0.00 0.00    1.00  1.00
74  -0.00 -0.00     0.00 0.00    1.00  1.00
75  -0.00 -0.00     0.00 0.00    1.00  1.00
76  -0.00 -0.00     0.00 0.00    1.00  1.00
77  -0.00 -0.00     0.00 0.00    1.00  1.00
78  -0.00 -0.00     0.00 0.00    1.00  1.00
79  -0.00 -0.00     0.00 0.00    1.00  1.00
80  -0.00 -0.00     0.00 0.00    1.00  1.00
81  -0.00 -0.00     0.00 0.00    1.00  1.00
82  -0.00 -0.00     0.00 0.00    1.00  1.00
83  -0.00 -0.00     0.00 0.00    1.00  1.00
84  -0.00 -0.00     0.00 0.00    1.00  1.00
85  0.00 0.00     0.00 0.00    1.00  1.00
86  0.00 0.00     0.00 0.00    1.00  1.00
87  -0.00 -0.00     0.00 0.00    1.00  1.00
88  0.00 0.00     0.00 0.00    1.00  1.00
89  0.00 0.00     0.00 0.00    1.00  1.00
90  0.00 0.00     0.00 0.00    1.00  1.00
91  0.00 0.00     0.00 0.00    1.00  1.00
92  0.00 0.00     0.00 0.00    1.00  1.00
93  -0.00 -0.00     0.00 0.00    1.00  1.00
94  -0.00 -0.00     0.00 0.00    1.00  1.00
95  -0.00 -0.00     0.00 0.00    1.00  1.00
96  -0.00 -0.00     0.00 0.00    1.00  1.00
97  -0.00 -0.00     0.00 0.00    1.00  1.00
98  -0.00 -0.00     0.00 0.00    1.00  1.00
99  0.00 0.00     0.00 0.00    1.00  1.00
100  -0.00 -0.00     0.00 0.00    1.00  1.00
101  0.00 0.00     0.00 0.00    1.00  1.00
102  -0.00 -0.00     0.00 0.00    1.00  1.00
103  -0.00 -0.00     0.00 0.00    1.00  1.00
104  -0.00 -0.00     0.00 0.00    1.00  1.00
105  -0.00 -0.00     0.00 0.00    1.00  1.00
106  -0.00 -0.00     0.00 0.00    1.00  1.00
107  0.00 0.00     0.00 0.00    1.00  1.00
108  0.00 0.00     0.00 0.00    1.00  1.00
109  -0.00 -0.00     0.00 0.00    1.00  1.00
110  -0.00 -0.00     0.00 0.00    1.00  1.00
111  0.00 0.00     0.00 0.00    1.00  1.00
112  0.00 0.00     0.00 0.00    1.00  1.00
113  -0.00 -0.00     0.00 0.00    1.00  1.00
114  -0.00 -0.00     0.00 0.00    1.00  1.00
115  -0.00 -0.00     0.00 0.00    1.00  1.00
116  -0.00 -0.00     0.00 0.00    1.00  1.00
117  0.00 0.00     0.00 0.00    1.00  1.00
118  0.00 0.00     0.00 0.00    1.00  1.00
119  0.00 0.00     0.00 0.00    1.00  1.00
120  0.00 0.00     0.00 0.00    1.00  1.00
121  0.00 0.00     0.00 0.00    1.00  1.00
122  -0.00 -0.00     0.00 0.00    1.00  1.00
123  -0.00 -0.00     0.00 0.00    1.00  1.00
124  -0.00 -0.00     0.00 0.00    1.00  1.00
125  -0.00 -0.00     0.00 0.00    1.00  1.00
126  -0.00 -0.00     0.00 0.00    1.00  1.00
127  -0.00 -0.00     0.00 0.00    1.00  1.00
128  0.00 0.00     0.00 0.00    1.00  1.00
129  -0.00 -0.00     0.00 0.00    1.00  1.00
130  0.00 0.00     0.00 0.00    1.00  1.00
131  0.00 0.00     0.00 0.00    1.00  1.00
132  0.00 0.00     0.00 0.00    1.00  1.00
133  0.00 0.00     0.00 0.00    1.00  1.00
134  -0.00 -0.00     0.00 0.00    1.00  1.00
135  0.00 0.00     0.00 0.00    1.00  1.00
136  0.00 0.00     0.00 0.00    1.00  1.00
137  -0.00 -0.00     0.00 0.00    1.00  1.00
138  0.00 0.00     0.00 0.00    1.00  1.00
139  -0.00 -0.00     0.00 0.00    1.00  1.00
140  0.00 0.00     0.00 0.00    1.00  1.00
141  -0.00 -0.00     0.00 0.00    1.00  1.00
142  0.00 0.00     0.00 0.00    1.00  1.00
143  0.00 0.00     0.00 0.00    1.00  1.00
144  -0.00 -0.00     0.00 0.00    1.00  1.00
145  0.00 0.00     0.00 0.00    1.00  1.00
146  -0.00 -0.00     0.00 0.00    1.00  1.00
147  -0.00 -0.00     0.00 0.00    1.00  1.00
148  -0.00 -0.00     0.00 0.00    1.00  1.00
149  0.00 0.00     0.00 0.00    1.00  1.00
150  -0.00 -0.00     0.00 0.00    1.00  1.00
151  -0.00 -0.00     0.00 0.00    1.00  1.00
152  0.00 0.00     0.00 0.00    1.00  1.00
153  -0.00 -0.00     0.00 0.00    1.00  1.00
154  0.00 0.00     0.00 0.00    1.00  1.00
155  0.00 0.00     0.00 0.00    1.00  1.00
156  -0.00 -0.00     0.00 0.00    1.00  1.00
157  -0.00 -0.00     0.00 0.00    1.00  1.00
158  -0.00 -0.00     0.00 0.00    1.00  1.00
159  -0.00 -0.00     0.00 0.00    1.00  1.00
160  -0.04 0.77     0.40 3.30    1.00  0.96
161  -0.00 -0.00     0.00 0.00    1.00  1.00
162  -0.00 -0.00     0.00 0.00    1.00  1.00
163  0.00 0.00     0.00 0.00    1.00  1.00
164  0.00 0.00     0.00 0.00    1.00  1.00
165  -0.00 -0.00     0.00 0.00    1.00  1.00
166  -0.00 -0.00     0.00 0.00    1.00  1.00
167  -0.00 -0.00     0.00 0.00    1.00  1.00
168  -0.00 -0.00     0.00 0.00    1.00  1.00
169  0.00 0.00     0.00 0.00    1.00  1.00
170  -0.00 -0.00     0.00 0.00    1.00  1.00
171  -0.00 -0.00     0.00 0.00    1.00  1.00
172  -0.00 -0.00     0.00 0.00    1.00  1.00
173  -0.00 -0.00     0.00 0.00    1.00  1.00
174  0.00 0.00     0.00 0.00    1.00  1.00
175  -0.00 -0.00     0.00 0.00    1.00  1.00
176  0.00 0.00     0.00 0.00    1.00  1.00
177  -0.00 -0.00     0.00 0.00    1.00  1.00
178  0.00 0.00     0.00 0.00    1.00  1.00
179  -0.00 -0.00     0.00 0.00    1.00  1.00
180  -0.00 -0.00     0.00 0.00    1.00  1.00
181  0.00 0.00     0.00 0.00    1.00  1.00
182  -0.00 -0.00     0.00 0.00    1.00  1.00
183  0.00 0.00     0.00 0.00    1.00  1.00
184  -0.00 -0.00     0.00 0.00    1.00  1.00
185  0.00 0.00     0.00 0.00    1.00  1.00
186  -0.00 -0.00     0.00 0.00    1.00  1.00
187  -0.00 -0.00     0.00 0.00    1.00  1.00
188  -0.00 -0.00     0.00 0.00    1.00  1.00
189  0.00 0.00     0.00 0.00    1.00  1.00
190  0.00 0.00     0.00 0.00    1.00  1.00
191  -0.00 -0.00     0.00 0.00    1.00  1.00
192  0.00 0.00     0.00 0.00    1.00  1.00
193  0.00 0.00     0.00 0.00    1.00  1.00
194  0.00 0.00     0.00 0.00    1.00  1.00
195  -0.00 -0.00     0.00 0.00    1.00  1.00
196  -0.00 -0.00     0.00 0.00    1.00  1.00
197  0.00 0.00     0.00 0.00    1.00  1.00
198  -0.00 -0.00     0.00 0.00    1.00  1.00
199  0.00 0.00     0.00 0.00    1.00  1.00
200  0.00 0.00     0.00 0.00    1.00  1.00
201  -0.00 -0.00     0.00 0.00    1.00  1.00
202  0.00 0.00     0.00 0.00    1.00  1.00
203  -0.00 -0.00     0.00 0.00    1.00  1.00
204  0.00 0.00     0.00 0.00    1.00  1.00
205  -0.00 -0.00     0.00 0.00    1.00  1.00
206  -0.00 -0.00     0.00 0.00    1.00  1.00
207  -0.00 -0.00     0.00 0.00    1.00  1.00
208  -0.00 -0.00     0.00 0.00    1.00  1.00
209  -0.00 -0.00     0.00 0.00    1.00  1.00
210  0.00 0.00     0.00 0.00    1.00  1.00
211  -0.00 -0.00     0.00 0.00    1.00  1.00
212  -0.00 -0.00     0.00 0.00    1.00  1.00
213  -0.00 -0.00     0.00 0.00    1.00  1.00
214  0.00 0.00     0.00 0.00    1.00  1.00
215  -0.00 -0.00     0.00 0.00    1.00  1.00
216  -0.00 -0.00     0.00 0.00    1.00  1.00
217  0.00 0.00     0.00 0.00    1.00  1.00
218  -0.00 -0.00     0.00 0.00    1.00  1.00
219  -0.00 -0.00     0.00 0.00    1.00  1.00
220  0.00 0.00     0.00 0.00    1.00  1.00
221  0.00 0.00     0.00 0.00    1.00  1.00
222  -0.00 -0.00     0.00 0.00    1.00  1.00
223  0.00 0.00     0.00 0.00    1.00  1.00
224  -0.00 -0.00     0.00 0.00    1.00  1.00
225  0.00 0.00     0.00 0.00    1.00  1.00
226  0.00 0.00     0.00 0.00    1.00  1.00
227  0.00 0.00     0.00 0.00    1.00  1.00
228  -0.00 -0.00     0.00 0.00    1.00  1.00
229  -0.00 -0.00     0.00 0.00    1.00  1.00
230  0.00 0.00     0.00 0.00    1.00  1.00
231  -0.00 -0.00     0.00 0.00    1.00  1.00
232  -0.00 -0.00     0.00 0.00    1.00  1.00
233  -0.00 -0.00     0.00 0.00    1.00  1.00
234  -0.00 -0.00     0.00 0.00    1.00  1.00
235  0.00 0.00     0.00 0.00    1.00  1.00
236  -0.00 -0.00     0.00 0.00    1.00  1.00
237  0.00 0.00     0.00 0.00    1.00  1.00
238  0.00 0.00     0.00 0.00    1.00  1.00
239  -0.00 -0.00     0.00 0.00    1.00  1.00
240  -0.00 -0.00     0.00 0.00    1.00  1.00
241  -0.00 -0.00     0.00 0.00    1.00  1.00
242  0.00 0.00     0.00 0.00    1.00  1.00
243  -0.00 -0.00     0.00 0.00    1.00  1.00
244  -0.00 -0.00     0.00 0.00    1.00  1.00
245  -0.00 -0.00     0.00 0.00    1.00  1.00
246  0.00 0.00     0.00 0.00    1.00  1.00
247  0.00 0.00     0.00 0.00    1.00  1.00
248  0.00 0.00     0.00 0.00    1.00  1.00
249  -0.00 -0.00     0.00 0.00    1.00  1.00
250  0.00 0.00     0.00 0.00    1.00  1.00
251  -0.00 -0.00     0.00 0.00    1.00  1.00
252  0.00 0.00     0.00 0.00    1.00  1.00
253  -0.00 -0.00     0.00 0.00    1.00  1.00
254  0.00 0.00     0.00 0.00    1.00  1.00
255  -0.00 -0.00     0.00 0.00    1.00  1.00
256  0.00 0.00     0.00 0.00    1.00  1.00
257  0.00 0.00     0.00 0.00    1.00  1.00
258  -0.00 -0.00     0.00 0.00    1.00  1.00
259  0.00 0.00     0.00 0.00    1.00  1.00
260  -0.00 -0.00     0.00 0.00    1.00  1.00
261  0.00 0.00     0.00 0.00    1.00  1.00
262  0.00 0.00     0.00 0.00    1.00  1.00
263  -0.00 -0.00     0.00 0.00    1.00  1.00
264  -0.00 -0.00     0.00 0.00    1.00  1.00
265  -0.00 -0.00     0.00 0.00    1.00  1.00
266  -0.00 -0.00     0.00 0.00    1.00  1.00
267  0.00 0.00     0.00 0.00    1.00  1.00
268  0.00 0.00     0.00 0.00    1.00  1.00
269  -0.00 -0.00     0.00 0.00    1.00  1.00
270  -0.00 -0.00     0.00 0.00    1.00  1.00
271  0.00 0.00     0.00 0.00    1.00  1.00
272  0.00 0.00     0.00 0.00    1.00  1.00
273  0.00 0.00     0.00 0.00    1.00  1.00
274  0.00 0.00     0.00 0.00    1.00  1.00
275  -0.00 -0.00     0.00 0.00    1.00  1.00
276  0.00 0.00     0.00 0.00    1.00  1.00
277  -0.00 -0.00     0.00 0.00    1.00  1.00
278  -0.00 -0.00     0.00 0.00    1.00  1.00
279  0.00 0.00     0.00 0.00    1.00  1.00
280  0.00 0.00     0.00 0.00    1.00  1.00
281  0.00 0.00     0.00 0.00    1.00  1.00
282  -0.00 -0.00     0.00 0.00    1.00  1.00
283  -0.00 -0.00     0.00 0.00    1.00  1.00
284  -0.00 -0.00     0.00 0.00    1.00  1.00
285  0.00 0.00     0.00 0.00    1.00  1.00
286  -0.00 -0.00     0.00 0.00    1.00  1.00
287  -0.00 -0.00     0.00 0.00    1.00  1.00
288  -0.00 -0.00     0.00 0.00    1.00  1.00
289  0.00 0.00     0.00 0.00    1.00  1.00
290  0.00 0.00     0.00 0.00    1.00  1.00
291  -0.00 -0.00     0.00 0.00    1.00  1.00
292  -0.00 -0.00     0.00 0.00    1.00  1.00
293  0.00 0.00     0.00 0.00    1.00  1.00
294  -0.00 -0.00     0.00 0.00    1.00  1.00
295  -0.00 -0.00     0.00 0.00    1.00  1.00
296  -0.00 -0.00     0.00 0.00    1.00  1.00
297  -0.00 -0.00     0.00 0.00    1.00  1.00
298  -0.00 -0.00     0.00 0.00    1.00  1.00
